"","idsec","sector","idpress","pressure","ideco","ecochar","overlap"
"316",1,"Aggregates",13,"Bycatch",16,"Marine Mammals","NO"
"317",1,"Aggregates",13,"Bycatch",17,"Pelagic Fish","NO"
"318",1,"Aggregates",13,"Bycatch",18,"Demersal Fish","NO"
"319",1,"Aggregates",13,"Bycatch",19,"Deep-sea Fish","NO"
"320",1,"Aggregates",13,"Bycatch",20,"Deep-sea Elasmobranchs","NO"
"321",1,"Aggregates",13,"Bycatch",21,"Pelagic Elasmobranchs","NO"
"322",1,"Aggregates",13,"Bycatch",22,"Demersal Elasmobranchs","NO"
"323",1,"Aggregates",13,"Bycatch",23,"Reptiles","NO"
"324",1,"Aggregates",13,"Bycatch",24,"Marine birds","NO"
"325",1,"Aggregates",13,"Bycatch",25,"Cephalopods","NO"
"326",1,"Aggregates",14,"Incidental Loss of spp.",1,"Littoral rock & reef","NO"
"327",1,"Aggregates",14,"Incidental Loss of spp.",2,"Littoral sediment","S"
"328",1,"Aggregates",14,"Incidental Loss of spp.",3,"Mangroves","NO"
"329",1,"Aggregates",14,"Incidental Loss of spp.",4,"Saltmarshes","NO"
"330",1,"Aggregates",14,"Incidental Loss of spp.",5,"Shallow rock & reef","NO"
"331",1,"Aggregates",14,"Incidental Loss of spp.",6,"Shallow sediment","S"
"332",1,"Aggregates",14,"Incidental Loss of spp.",7,"Shelf rock & reef","NO"
"333",1,"Aggregates",14,"Incidental Loss of spp.",8,"Shelf sediment","S"
"334",1,"Aggregates",14,"Incidental Loss of spp.",9,"Slope rock & reef","NO"
"335",1,"Aggregates",14,"Incidental Loss of spp.",10,"Slope sediment","NO"
"336",1,"Aggregates",14,"Incidental Loss of spp.",11,"Deep Sea rock & reef","NO"
"337",1,"Aggregates",14,"Incidental Loss of spp.",12,"Deep Sea Sediment","NO"
"338",1,"Aggregates",14,"Incidental Loss of spp.",13,"Coastal Pelagic","S"
"339",1,"Aggregates",14,"Incidental Loss of spp.",14,"Shelf Pelagic","S"
"340",1,"Aggregates",14,"Incidental Loss of spp.",15,"Oceanic Pelagic","NO"
"341",1,"Aggregates",14,"Incidental Loss of spp.",16,"Marine Mammals","S"
"342",1,"Aggregates",14,"Incidental Loss of spp.",17,"Pelagic Fish","S"
